timestamp,fps,cpu_percent,ram_percent,temperature
19:24:16,18.39,72.6,11.1,46.2
19:24:18,17.98,84.3,11.1,48.2
19:24:20,18.43,84.5,11.1,49.1
19:24:22,18.37,84.4,11.1,51.1
19:24:24,18.43,84.2,11.1,50.6
19:24:26,18.41,84.4,11.1,51.6
19:24:28,18.37,84.4,11.1,53.5
19:24:30,18.55,84.4,11,53.5
19:24:32,18.4,84,11,53.5
19:24:34,8.26,83.9,11.1,53.5
19:24:37,18.49,79.9,11.7,53.5
19:24:39,17.82,84.1,11.5,54.5
19:24:41,17.76,83.8,11.4,55
19:24:43,18.08,83.6,11.3,56
19:24:45,18.39,83.5,11.3,55.5
19:24:47,17.7,83.8,11.2,56.9
19:24:49,18.55,83.9,11.2,56.4
19:24:51,18.11,83.5,11.2,56
19:24:53,18.33,83.7,11.2,57.4
19:24:55,18.44,83.9,11.2,57.4
19:24:57,18.35,83.8,11.1,57.4
19:24:59,18.28,84,11.1,57.4
19:25:01,17.88,83.7,11.1,58.4
19:25:03,18.18,83,11.1,57.9
19:25:05,18.42,84.5,11.1,58.4
19:25:07,18.21,84.3,11.1,58.9
19:25:09,18.26,84,11.1,59.4
19:25:11,18.43,83.9,11.1,58.4
19:25:13,18.37,84.3,11.1,58.4
19:25:15,18.31,84.6,11.1,59.4
